CompetitorID,DrugID,CompetitorDrugName,CompanyName,City,Country
1,48,mCNYDrug,"Randolph, Jones and Mason",East Tracyport,Mayotte
2,29,ttAxDrug,Johnson Inc,Lake Alanview,Mongolia
3,36,RxDyDrug,"Mejia, Reed and Anderson",West Karen,Dominica
4,46,fwDyDrug,Watkins-Walker,Lyonston,Togo
5,28,dJSdDrug,"Knight, Benitez and Meyer",West Ericaview,Antarctica (the territory South of 60 deg S)
6,36,moxjDrug,Choi-Garcia,Clarkland,Rwanda
7,1,JVRmDrug,Jones-Mathews,Rickyview,Aruba
8,8,ciAXDrug,Walsh-White,South Amanda,Lesotho
9,5,ytOCDrug,Hatfield Inc,Adamsside,Guatemala
10,45,axlwDrug,Rollins-Frye,Lake Nathaniel,Iraq
11,10,wtzEDrug,Shaffer Inc,North Monicatown,Guinea-Bissau
12,35,nPlUDrug,Harmon Inc,New Edwardchester,Singapore
13,3,bUqZDrug,Reyes Inc,Brownville,Jamaica
14,24,ZtPPDrug,Smith Inc,Lake Amandaland,Poland
15,38,OpqvDrug,"Deleon, Turner and Johnson",Staceychester,Turks and Caicos Islands
16,36,FuaDDrug,Rush-Ryan,New Brendan,Mayotte
17,10,KQjQDrug,"Murphy, Rodriguez and Lindsey",North Emilyton,Oman
18,28,PYDLDrug,"Miller, Smith and Ruiz",Kimton,British Indian Ocean Territory (Chagos Archipelago)
19,9,YYAODrug,"Brown, Hayden and Campbell",New Barbaramouth,Oman
20,3,sBIUDrug,"Day, West and Scott",Millsberg,Jamaica
21,20,MBHXDrug,Huff-White,Richardsonport,Faroe Islands
22,24,wdVIDrug,Johnson-Allen,Wagnerburgh,Nigeria
23,3,XsSSDrug,Mitchell-Hull,Steinstad,Switzerland
24,23,QsCfDrug,Chapman-Livingston,Anthonychester,United States of America
25,14,FeBNDrug,"Harris, Sexton and Pennington",Lake Josephborough,Haiti
26,44,IxNXDrug,"Murphy, Elliott and Church",North Patricia,Greece
27,16,xbsgDrug,Lopez PLC,Richardview,Grenada
28,43,ARxwDrug,"White, Jenkins and Payne",North Taylorborough,Guinea-Bissau
29,7,uYuADrug,Johnson-Sandoval,Kelleyburgh,Sweden
30,23,YNCsDrug,Ashley LLC,East Bradley,Kiribati
31,50,rJHzDrug,"Rasmussen, Jensen and Moore",Scottmouth,Madagascar
32,36,EyquDrug,Nguyen-Hanson,East Bruce,Czech Republic
33,27,fDbrDrug,Gregory-Massey,Evansfort,Bangladesh
34,40,dmOZDrug,Koch-Parker,Josephberg,Suriname
35,48,sPDQDrug,Elliott-Payne,East James,Antarctica (the territory South of 60 deg S)
36,10,CbysDrug,Hudson and Sons,East Lisa,Vanuatu
37,16,pIqNDrug,Schmidt-Morgan,West Joshua,Palau
38,11,WhGTDrug,Mills LLC,North Laura,Cambodia
39,12,KbxLDrug,Parrish-Nielsen,Markbury,Guatemala
40,27,xgAFDrug,Villegas Inc,Russellville,Spain
